"SAMPLE 2023-01-13_08-39-52 csv_sources\0_fertoing_source.csv search_mode='any' keywords=['болт', 'винт', 'гайка', 'шайба', 'шуруп'] exclude=[]"
DIN128 А Шайба пружинная одновитковая изогнутая М8 А4-Нерж_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '128', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
"""АВВ Клемма винт 2,5 мм.кв.""""Земля"""" ж/з МА2,5/5.Р /50 шт/_НЕ_ИСПОЛЬЗУЕТСЯ""","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'.': 2, '2,5': 1, '50': 1}), 'K': {'клемма', 'винт', 'авва', 'земля'}}"
"АВВ Клемма винт 2,5 мм.кв.синяя МА2,5/5 N /50 шт/_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'.': 2, '2,5': 1, '50': 1}), 'K': {'клемма', 'винт', 'авва'}}"
"АВВ Клемма винт 4 мм.кв.серая М2,5/5 N /50 шт/_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'.': 2, '4': 1, '2,5': 1, '5': 1, '50': 1}), 'K': {'клемма', 'винт', 'авва'}}"
АВВ Клемма винт 4 мм.кв.серая М4/6 N /50 шт/_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'4': 2, '.': 2, '6': 1, '50': 1}), 'K': {'клемма', 'винт', 'авва'}}"
Адаптер для болтов и саморезов Практика d 8 мм L65 мм _НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'8': 1, '65': 1}), 'K': {'практика', 'болт', 'адаптер', 'саморез'}}"
Адаптер для ледобура под шуруповерт на подшипнике 18 мм,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'18': 1}), 'K': {'шуруповерт', 'адаптер', 'подшипник', 'ледобура'}}"
"""Адаптер угловой штуцер-гайка 90? 1/2"""" BSP60?-BSP60?""","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'bsp': 2, '60': 2, '90': 1, '1': 1, '2': 1}), 'K': {'штуцер', 'адаптер', 'угловой', 'гайка'}}"
"""Адаптер угловой штуцер-гайка 90? 3/4"""" BSP60?-BSP60?""","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'bsp': 2, '60': 2, '90': 1, '3': 1, '4': 1}), 'K': {'штуцер', 'адаптер', 'угловой', 'гайка'}}"
Аккумулятор для шуруповерта BB-GSR-Ni Patriot,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'bb': 1, 'gsr': 1, 'ni': 1, 'patriot': 1}), 'K': {'шуруповерт', 'аккумулятор'}}"
Анкер втулочный с болтом НВМ 8*60_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '60': 1}), 'K': {'болт', 'анкер'}}"
"""Анкер нейлоновый для тонколистовых материалов с шурупом для материалов от 12 мм """"Сормат"""" упак 50 шт_""","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '50': 1}), 'K': {'шуруп', 'анкер', 'сормат', 'материал'}}"
Анкер с болтом Sormat PFG LB 16-30 оцинкованный арт. 9640077041,"{'din': None, 'gost': None, 'iso': None, 'sku': '9640077041', 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'sormat': 1, 'pfg': 1, 'lb': 1, '16': 1, '30': 1}), 'K': {'болт', 'анкер'}}"
Анкер с болтом М16х148/30 Sormat LB,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '148': 1, '30': 1, 'sormat': 1, 'lb': 1}), 'K': {'болт', 'анкер'}}"
Анкер с шурупом SORMAT OLA 50 шт. SOR_75201,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'sormat': 1, 'ola': 1, '50': 1, '.': 1, 'sor': 1, '75201': 1}), 'K': {'шуруп', 'анкер'}}"
Анкерный болт с гайкой 0 х 60 мм._НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'0': 1, '60': 1, '.': 1}), 'K': {'болт', 'гайка'}}"
Анкерный болтPERCo PFG IH М10,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'perco': 1, 'pfg': 1, 'ih': 1, '10': 1}), 'K': {'болт'}}"
"Баллон FABER 15l 232бар (сталь, + z-винтель, +сетка, +ручка)","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({',': 2, 'faber': 1, '15': 1, '232': 1}), 'K': {'ручка', 'баллон', 'винтель', 'сетка'}}"
"Банка винтовая 0,5 л","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'0,5': 1}), 'K': {'банк'}}"
"Банка винтовая твист-офф 0,44л III-82","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'0,44': 1, 'iii': 1, '82': 1}), 'K': {'твист', 'банк'}}"
"Банка винтовая твист-офф 0,5 л III-82/24/28","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'0,5': 1, 'iii': 1, '82': 1, '24': 1, '28': 1}), 'K': {'твист', 'банк'}}"
Банка винтовая твист-офф 1 л,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1': 1}), 'K': {'твист', 'банк'}}"
Банка темная 5000 мл с винтовой крышкой и шкалой GL 45,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'5000': 1, 'gl': 1, '45': 1}), 'K': {'банк', 'крышка', 'шкала'}}"
Болт / Винт М10х18 А2 нерж DIN 912 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '18': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М10х25 А2 нерж DIN 912 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '25': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М10х25 А4 нерж DIN 912 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'10': 1, '25': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М10х40 А4 нерж DIN 912 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'10': 1, '40': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М10х60 А2 нерж DIN 912 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '60': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М10х60 А4 нерж DIN 912 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'10': 1, '60': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М12х100 А4 нерж DIN 912 ISO 4762 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'12': 1, '100': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М12х25 А2 DIN 912 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1, '25': 1}), 'K': {'винт', 'болт'}}"
