ITEM1,ITEM2,RATIO
DIN128 А Шайба пружинная одновитковая изогнутая М8 А4-Нерж_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба М8 А4 нерж DIN 128 A / ГОСТ 6402-70,0.67

Болт / Винт М12х30 А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М12х30 А2 нержавеющий DIN 912,0.56

Болт / Винт М12х40 А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М12х40 А2 нержавеющий DIN 912,0.56

Болт / Винт М3х10 А4 DIN 912 / ISO 4762 / ГОСТ 11738-84,Винт с внутренним шестигранником и цилиндрической головкой М3x10 А4 DIN 912 ГОСТ 11738-84,0.55

Болт / Винт М3х20 А2 нерж DIN 912 ISO 4762 ГОСТ 11738-84,Болт с внутренним шестигранником М3х20 нержавеющий А2 DIN 912,0.5

Болт / Винт М6х16 А2 нерж DIN 912,Болт с внутренним шестигранником М6х16 нержавеющий А2 DIN 912,0.62
Болт / Винт М6х16 А2 нерж DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М6х16 А2 нержавеющий DIN 912,0.56

Болт / Винт М6х20 А2 нерж DIN 912,Болт имбус 6х20 нерж. DIN 912 сталь A2&,0.62
Болт / Винт М6х20 А2 нерж DIN 912,Винт с цилиндрической головкой и внутренним шестигранником М6х20 А2 нержавеющий DIN 912,0.56

Болт / Винт М6х30 А2 нерж DIN 912,Болт имбус 6х30 нерж. DIN 912 сталь A2&,0.62
Болт / Винт М6х30 А2 нерж DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М6х30 А2 нержавеющий DIN 912,0.56

Болт / Винт М6х40 А4-80 нерж DIN 912 / ISO 4762 / ГОСТ 11738-84,Винт М6х40 А4-Нерж DIN 912 / ГОСТ 11738-84,0.67

Болт / Винт М6х50 А2 нерж DIN 912,Винт с цилиндрической головкой и внутренним шестигранником М6х50 А2 нержавеющий DIN 912,0.56

Болт / Винт М8х16 А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М8х16 А2 нержавеющий DIN 912,0.56

Болт / Винт М8х20 А2 нерж DIN 912 / ISO 4762 / ГОСТ 11738-84,Винт с цилиндрической головкой и внутренним шестигранником М8х20 А2 нержавеющий DIN 912,0.45

Болт / Винт М8х30 А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М8х30 А2 нержавеющий DIN 912,0.56

Болт / Винт М8х35 А2 DIN 912 / ISO 4762,Болт с цилиндрической головкой и внутренним шестигранником М8х35 А2 нержавеющий DIN 912,0.5

Болт / Винт М8х40 А2 DIN 912 / ISO 4762 / ГОСТ 11738-84,Винт М8х40 А2 нерж. DIN 912,0.56

Болт / Винт М8х50 А2 нержавеющий DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М8х50 А2 нержавеющий DIN 912,0.56

Болт / Винт М8х60 А2 нерж DIN 912 ГОСТ 11738-84,Винт с цилиндрической головкой и внутренним шестигранником М8х60 А2-Нерж DIN 912,0.5

Болт / Винт М8х90 А2 DIN 912,Болт с цилиндрической головкой и внутренним шестигранником М8х90 А2 нержавеющий DIN 912,0.56

Болт / винт с внутренним шестигранником М10х120 нержавеющий А2 DIN 912,Винт с внутренним шестигранником М10х120 нержавеющий А2 DIN 912,0.75

Болт DIN7991 М10*40,Винт DIN7991 М10*40_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN7991 М10*50_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М10х50 DIN 7991,0.44

Болт DIN7991 М12*100_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М12х100 DIN 7991,0.44

Болт DIN7991 М12*35_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN7991 М12*35_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN7991 М12*50_НЕ_ИСПОЛЬЗУЕТСЯ,Винт c потайной головкой М12х50 DIN 7991,0.5

Болт DIN7991 М4*10_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN7991 М4*10_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN7991 М4*16_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М4х16 DIN 7991,0.44

Болт DIN7991 М4*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М4х30 DIN 7991 высокопрочный,0.57

Болт DIN7991 М4*50_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN7991 М4*50_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN7991 М6*20_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М6х20 DIN 7991,0.44
Болт DIN7991 М6*20_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М6х20 DIN 7991_НЕ_ИСПОЛЬЗУЕТСЯ,0.44

Болт DIN7991 М6*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М6х30 DIN 7991,0.44

Болт DIN7991 М6*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с потайной головкой и внутренним шестигранником М6х40 DIN 7991,0.44

Болт DIN7991 М8*100_НЕ_ИСПОЛЬЗУЕТСЯ,Винт c потайной головкой М8х100 DIN 7991,0.5

Болт DIN7991 М8*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN7991 М8*40_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN912 М10*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М10х30 DIN 912_НЕ_ИСПОЛЬЗУЕТСЯ,0.44

Болт DIN912 М10*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М10х40 DIN 912_НЕ_ИСПОЛЬЗУЕТСЯ,0.44

Болт DIN912 М10*50_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М10х50 DIN 912,0.44

Болт DIN912 М12*60_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М12х60 DIN 912_НЕ_ИСПОЛЬЗУЕТСЯ,0.44

Болт DIN912 М4*16_НЕ_ИСПОЛЬЗУЕТСЯ,Винт c внутренним шестигранником М4х16 DIN 912,0.5

Болт DIN912 М4*35_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN912 М4*35_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN912 М4*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М4х40 DIN 912,0.44

Болт DIN912 М5*25_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М5х25 DIN 912,0.44

Болт DIN912 М5*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт оцинкованный М5х30 DIN 912,0.57

Болт DIN912 М6*20_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М6х20 DIN 912,0.44

Болт DIN912 М6*25_НЕ_ИСПОЛЬЗУЕТСЯ,Винт М6х25 цинк DIN 912 ГОСТ 11738-84,0.5
Болт DIN912 М6*25_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М6х25 DIN 912,0.44

Болт DIN912 М6*30_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М6х30 DIN 912,0.44

Болт DIN912 М6*35_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN912 М6*35_НЕ_ИСПОЛЬЗУЕТСЯ,0.57

Болт DIN912 М6*40_НЕ_ИСПОЛЬЗУЕТСЯ,Болт с внутренним шестигранником М6х40 DIN 912,0.71
Болт DIN912 М6*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN912 М6х40_НЕ_ИСПОЛЬЗУЕТСЯ,0.57
Болт DIN912 М6*40_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М6х40 DIN 912,0.44

Болт DIN912 М6*50_НЕ_ИСПОЛЬЗУЕТСЯ,Винт оцинкованный М6х50 DIN 912,0.57

Болт DIN912 М6*55_НЕ_ИСПОЛЬЗУЕТСЯ,Винт с цилиндрической головкой и внутренним шестигранником М6х55 DIN 912,0.44

Болт DIN912 М8*20_НЕ_ИСПОЛЬЗУЕТСЯ,Винт DIN912 М8*20_НЕ_ИСПОЛЬЗУЕТСЯ,0.57
Болт DIN912 М8*20_НЕ_ИСПОЛЬЗУЕТСЯ,Винт оцинкованный М8х20 DIN 912,0.57

